album_id,genre,song_name
10552055,발라드,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10238711,록/메탈,옥탑방 (Rooftop)
2175738,랩/힙합,이게 사랑이 아니면 (Feat. 에일리)
862970,발라드,흩어져
10040060,"댄스, 발라드",KNOCK KNOCK
2210557,록/메탈,"스물다섯, 스물하나"
10889981,R&B/Soul,GANADARA (Feat. 아이유)
2263804,"발라드, 댄스",하늘색 약속
2059007,댄스,미치겠어
2134788,랩/힙합,Boogie On & On
10400522,"댄스, 랩/힙합, 록/메탈",WANNABE
10027786,"발라드, 록/메탈, 포크/블루스",오랜 날 오랜 밤
2214670,"댄스, 발라드",Hush
1258257,"댄스, 발라드",Shampoo
2290452,"인디음악, 포크/블루스",스토커
2177822,"댄스, 발라드",기대해
10318623,"국내드라마, 발라드",Done For Me
10128163,발라드,답장
2153251,"발라드, 댄스",보여줄게
1313571,발라드,얼음꽃 (Feat. 김세황)
10369830,"R&B/Soul, 인디음악",마음이 말하는 행복 (Happiness) (Feat.이라온)
2655015,랩/힙합,19금 유레카 (Feat. Zion.T)
2202410,록/메탈,처음엔 사랑이란게
2145068,발라드,I Need You
723759,"댄스, 발라드",너 때문에
11033394,"랩/힙합, 댄스, 발라드",Pink Venom
10810162,랩/힙합,Counting Stars (Feat. Beenzino)
2706226,발라드,그대라는 사치
2179893,발라드,녹는 중 (Feat. 버벌진트)
10447670,댄스,Into the I-LAND
2020148,"댄스, 발라드",사랑은 Move
838454,"댄스, 발라드",뱅(Bang) !
838452,발라드,비켜줄께
10261306,"댄스, R&B/Soul",고고베베 (gogobebe)
10636091,발라드,하루만 더
2298684,발라드,목소리
10203965,발라드,이별하러 가는 길
10181438,"발라드, 인디음악",동화
10070846,"인디음악, 포크/블루스",남이 될 수 있을까
2689855,"댄스, R&B/Soul, 발라드, 랩/힙합",Monster
2325321,"댄스, 발라드",심쿵해 (Heart Attack)
1063754,발라드,언제나
10025804,"발라드, 국내드라마",Who Are You
10093389,랩/힙합,시차 (We Are) (Feat. 로꼬 & GRAY)
10191694,댄스,Power Up
2265934,"댄스, 발라드",Darling
2030418,"댄스, 발라드",Be My Baby
2661204,"발라드, 댄스, 록/메탈",센치해
2194266,"댄스, 발라드, 일렉트로니카",첫 사랑니 (Rum Pum Pum Pum)
2040666,"발라드, 댄스",너랑 나
10818396,댄스,Dreams Come True
2175837,"발라드, 국내드라마",겨울사랑
2669407,"R&B/Soul, 댄스, 랩/힙합",넌 is 뭔들
11078496,"댄스, 발라드, R&B/Soul, 록/메탈",ANTIFRAGILE
2325345,"댄스, 발라드",SHAKE IT
2286432,랩/힙합,"19금 BORN HATER (Feat. 빈지노, 버벌진트, B.I, MINO, BOBBY)"
10011491,"포크/블루스, 댄스",불장난
10058598,R&B/Soul,오늘 취하면 (Feat. 창모) (Prod. SUGA)
10060647,"댄스, 발라드, 랩/힙합, 록/메탈",New Face
2171751,댄스,강북멋쟁이
10273641,"랩/힙합, R&B/Soul, 댄스",작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
10212203,발라드,고백
332658,R&B/Soul,내사람
2157426,"댄스, 발라드",Ice Cream (Feat. Maboos)
2106226,발라드,사랑은 다 그런거래요
10025845,"발라드, 국내드라마",이쁘다니까
11023224,"댄스, R&B/Soul, 발라드",FOREVER 1
10439549,랩/힙합,깡 Official Remix
2300803,발라드,또 운다 또
1125251,"댄스, 발라드",왜 (Keep Your Head Down)
10554246,"댄스, 발라드, R&B/Soul",Celebrity
822151,발라드,사랑이 올까요 (With 백지영)
2319240,R&B/Soul,꺼내 먹어요
2182026,포크/블루스,봄봄봄
979852,발라드,난 너에게
2171790,랩/힙합,시작이 좋아 (Feat. 강민희 Of 미스에스)
2083726,발라드,Falling
10148752,랩/힙합,북 (Prod. SLO)
2190225,랩/힙합,슬피 우는 새 (Feat. 이수영)
2313106,랩/힙합,Me You (Feat. 백예린 Of 15&)
10210198,랩/힙합,시간이 들겠지 (Feat. Colde)
2683798,"발라드, 국내드라마",꿈처럼
2302870,R&B/Soul,같은 시간 속의 너
1334167,"댄스, 발라드",모나리자 (Mona Lisa)
992151,"댄스, 발라드",Madonna
10036123,댄스,YESTERDAY
10505118,"발라드, 댄스",힘든 건 사랑이 아니다
2177951,"발라드, 국내드라마",그리고 하나
842655,"록/메탈, 인디음악",고백
2702242,"록/메탈, 인디음악",뜨거운 여름밤은 가고 남은 건 볼품없지만
10163106,"댄스, 발라드",밤 (Time for the moon night)
10154916,"랩/힙합, 록/메탈, 발라드, 댄스, R&B/Soul",EVERYDAY
2335653,발라드,가슴 뛰도록
10695590,"발라드, 인디음악",고백
2124707,"댄스, 발라드",2HOT
10032040,발라드,소나기
2124713,발라드,illa illa (일라 일라)
1004461,발라드,U
