Song_ID,Genre,Lyrics
57347,발라드,이른 아침 눈을 떠 보니 오늘이 바로 그 날 네 곁에서 축복해주고 싶었지만 난 전화를 걸 수밖에 없었지 어제는 온종일 겨울비가 내렸어 내 마음을 알기라도 하듯이 투명한 빗물이 하얀 눈으로 변하고 내 아픔도(마음도) 널 사랑하는 마음으로 모두 덮어 버렸어 내 사랑과 축복을 외면하는 네 마음을 알면서도 니 생일을 축복해 주고 싶었어 나 혼자만이라도 멀리서 오늘 이 기쁜날을 널 위해서 보내리 내 아픔도(마음도) 널 사랑하는 마음으로 모두 덮어 버렸어 내 사랑과 축복을 외면하는 네 마음을 알면서도 니 생일을 축복해 주고 싶었어 나 혼자만이라도 멀리서 오늘 이 기쁜날을 널 위해서 보내리
30400521,"키즈, 창작동요",루피 에디 슈퍼마켓 갔죠패티는 집을 꾸몄죠  포비는 고기를 구웠죠 뽀로로 심심했죠 문 열고 들어오니 팡 팡 팡!생일 축하해!  생일 축하해 뽀로로! 루피는 슈퍼마켓 갔죠크롱은 함께 놀았죠  포비는 고기를 구웠죠 뽀로로 즐거웠죠 문 열고 나오니 팡 팡 팡!생일 축하해!  생일 축하해 뽀로로! 루피 에디 슈퍼마켓 갔죠패티는 집을 꾸몄죠  포비는 고기를 구웠죠 뽀로로는 심심했죠 문을 열고 들어오니 팡 팡 팡!생일 축하해!  루피는 슈퍼마켓 갔죠크롱은 함께 놀았죠  포비는 고기를 구웠죠 뽀로로는 즐거웠죠 문을 열고 나오니 팡 팡 팡!생일 축하해!  생일 축하해 뽀로로! 루피 에디 슈퍼마켓 갔죠패티는 집을 꾸몄죠  포비는 고기를 구웠죠 뽀로로 심심했죠 문을 열고 들어오니 팡 팡 팡!생일 축하해
31645744,"키즈, 창작동요",생일 축하 합니다. 생일 축하 합니다. 당신의 생일을 축하합니다.생일 축하 합니다. 생일 축하 합니다. 사랑하는 친구의 생일 축하합니다.
33251391,"인디음악, 포크/블루스",세상에 나오느라 수고했어 정말내 옆에 있어줘서 참 고마워잊을만하면 돌아오는내가 제일 좋아하는 날너에게 주고 싶어 남겨뒀어그 마음 한가운데 초를 켜잊을만하면 돌아오는내가 제일 좋아하는 날축하해 줄게 축하해 줄게축하해 주고 싶었어축하해 줄게 축하해 줄게너의 생일네가 있기 전까진 없었던다정한 너의 이름 또 불러봐우리가 있어 다행이야내가 제일 좋아하는 너축하해 줄게 축하해 줄게축하해 주고 싶었어축하해 줄게 축하해 줄게너의 생일축하해 줄게 축하해 줄게너의 생일
33136789,"키즈, 창작동요",친구야 생일 축하해 정말로 생일 축하해오늘은 너무나 기쁜날 우리 함께생일 축하 노래 부르자생일 축하 합니다생일 축하 합니다사랑하는 친구의생일 축하 합니다친구야 생일 축하해 정말로 생일 축하해오늘은 너무나 기쁜날 우리 함께생일 축하 노래 부르자생일 축하 합니다생일 축하 합니다사랑하는 친구의생일 축하 합니다
34554018,-,생일 축하합니다 (축하곡)
73897,록/메탈,니가 좋아했던 꽃을너 없는 방안 가득 놓아 두었어니가 없는 너의 생일그냥 보낼수 없어서작은 파티 준비했어니가 좋아했던 것 들모두 다 잊지 않고 준비 해뒀어예쁜 리본 달려있는선물 바구니 속에는미소 짓는 너의 눈빛널 위해 준비해둔빨간 딸기가 있는하얀 케익 위에는너 빨리 와서 불어 꺼주길스무개 촛불 기다리고 있자나어디에 있니 내게 돌아와줘이제 더 이상 너 없는 생일감당 할 수가 없어어서 내게 빨리 돌아와다시 내곁에 사랑그대로 너를 찾고 싶어샘이 많던 널 기억해어디든 따라가려 보체던 너를궁금한게 너무 많아재잘거리던 질문이날 귀찮게 하던 너를너 작년 생일날에샴페인에 취해서내게 울며 말했지꼭 어떤 시련 힘 들게 해도너의 곁에서 지켜줘야 한다고어디에 있니 내게 돌아와줘이제 더 이상 너 없는 생일감당 할 수가 없어 어서내게 빨리 돌아와잊지 말아죠 예전 그대로너의 사랑인 걸사랑인걸
34693327,R&B/Soul,Some say I do too muchSome say they fuck with meThe more I know the more I feelComplicatedMy name is lil soulAnd I’m five feetwith a big ass heartIt’s been twenty six yearssince I’vePopped into this world u knowI’m a girl with my universe andMy world stay tight and smallSo I picks my friendslike I pick my fruitMy mama told me thatWhen I was only a youthI’m just turning twenty and sixHappy solar returnthree hundred and sixFive days a weekworking from homeThey call me homebodyBut my spirit at workArchive this poston external driveBack it up in caseu forget my lineChoosing to drive thruI do fries no cokeAnd take your bitch homeFucking my birthday upIt’s like my birthdayI mean it’s an intro
34693328,"R&B/Soul, 인디음악",Oh my godOh my godGot big dreams big thighsTwo faced with a lotta loveGet to know me better babyPush me harder I will pullI don’t do competitionNo coffee but I stay upAll night I be charging upI don’t smokebut my shit stay smokeyBurning bridgeswith them fake ass hoesWho be jelly bellyJelly belly fat bellySmall titties and my fat bellyOh my godOh my godGot big dreams big thighsTwo faced with a lotta loveGet to know me better babyPush me harder I will pullI don’t do competitionOh my godOh my godGot big dreams big thighsTwo faced with a lotta loveGet to know me better babyPush me harder I will pullI don’t do competition
34693329,"R&B/Soul, 인디음악",나도 잘 모르겠어사과 같은 그 얼굴이눈을 감아도 내 눈앞에 자꾸 보이네여름인지 가을인지 하늘 높이있는 너는 좀처럼떨어질 생각을 하질 않네목이 부러질 듯 고개를 들어 널 봐도목이 타는 듯이 네 이름을 불러도몇 시쯤에 눈을 뜨는지 알 수 없네목이 부러질 듯 고개를 들어 널 봐도잡으면 사라질까 손을 뻗지 않아도어떤 공기를 마시는지 널 알 수 없네사과 같은 네 얼굴예쁘기도 하구나눈도 반짝 코도 반짝입도 반짝반짝여름인지 가을인지 하늘 높이있는 너는 좀처럼떨어질 생각을 하질 않네목이 부러질 듯 고개를 들어 널 봐도목이 타는 듯이 네 이름을 불러도몇 시쯤에 눈을 뜨는지 알 수 없네목이 부러질 듯 고개를 들어 널 봐도잡으면 사라질까 손을 뻗지 않아도어떤 공기를 마시는지 널 알 수 없네
34693330,"R&B/Soul, 인디음악",I’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercoverI’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercoverMy love do u remember my faceU don’t know meso don’t call me namesMy love hold upbetter give me some spaceU don’t know meso don’t call me namesWhy u don’t ever let me growWhy u don’t ever let me growWhy u don’t ever let me growWhy u don’t ever let me growI’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercoverI’ve been planted undergroundAnd shit was getting colderCan u pls give me some waterI’ve been undercoverPassing twenty winters and thenI was getting tallerCan u pls give me some waterI’ve been undercover
631039,"CCM, 어린이",오늘은 예수님 탄생하신 날 난 무슨선물 할까요 동방박사 아저씨들처럼 값진것 내게 없어요 하지만 엄마말이 맞아 이세상에서 가장귀한건 값비싼 보물이 아니고 내마음속에 있는걸 그럼 나는 무슨 선물로 예수님생일 축하할까 난 한참동안 생각 했어요 (난 무슨선물을 드리지?) (아 그래!) 빨간리본 만들어 예쁘게 가슴에달고 예수님 생일 선물로 바로 나를 드릴래요 그러면 우리예수님정말 참 기뻐하실거에요 예수님 이 세상에서 날 제일 좋아하시거든요 ..
36045110,"CCM, 국내CCM",감사해요 주님께 귀한 생명 주심을지나온 하루하루 모두 주님의 은혜당신가는 그 길에 주님 축복 하시리당신의 삶을 통해 주님 뜻 이뤄지길축하해요 당신의 기쁜 오늘 생일을하나님 형상으로 소중한 당신 모습당신은 주의 자녀 주님 사랑하시네당신의 삶을 통해 주께 영광돌리리당신가는 그 길에 주님 축복 하시리당신의 삶을 통해 주님 뜻 이뤄지길당신은 주의 자녀 주님 사랑하시네당신의 삶을 통해 주께 영광돌리리당신의 삶을 통해 주께 영광돌리리
74119,"댄스, R&B/Soul",우리 둘이 만난 후처음맞는 내 생일아직까진 너와나어색한 사이지만너무 큰 꿈일지 몰라도바라는 선물있어입맞춤을 해봤으면내가 너무 성급하다고아직은 아니란걸나 자신도 알고있어사실은 혼자만의 바램이야그냥 내앞에서 웃어줘내 생일을 예쁜 미소로그저 축복해주기만난 바랄뿐이야약속했던 자리에마주보는 너와나왜 머리속엔 엉뚱한생각만 가득할까너의 천사같은 미소에내 자신 부끄러워숨을 곳을 찾고싶어그래 우린 아직까지는손도 한번 못잡은풋내나는 사랑이야그 때 갑자기 너의 입술이나에게 다가오고 있었어그 후 느낌은 말을 해줘도아무도 다 모를거야이 순간을 영원히 느끼고싶어시간이 멈춰줬으면내 기분 높은 하늘을 날아헤매고야 말았어누구도 아닌 사랑스러운어여쁜 너와 함께그 누구에게도얘기하지 말아야지이런 느낌을 사랑스러운그 애와 둘이서만간직하고픈 입맞춤의느낌은 나에겐 정말잊을 수 없는 생일 선물이었어사실은 혼자만의 바램이야그냥 내앞에서 웃어줘내 생일을 예쁜 미소로그저 축복해주기만난 바랄뿐이야그 누구에게도얘기하지 말아야지이런 느낌을 사랑스러운그 애와 둘이서만간직하고픈 입맞춤의느낌은 나에겐 정말잊을 수 없는 생일 선물이었어
36094352,"키즈, 교과서동요",생일 축하합니다생일 축하합니다사랑하는 당신의생일 축하합니다생일 축하합니다생일 축하합니다사랑하는 당신의생일 축하합니다생일 축하합니다
82416,발라드,스무살 그때 이후로내 나이 난 의미가 없어새로운 세상을 대한 마음이 중요한 것뿐그즘에 만난 그녀와 처음 단 둘이 함께한 생일은아직도 내 가슴속에 얼어붙은 그림오늘도 느껴가는 건결국 모두 외로운 사람들어깨를 나란히 하고 따뜻한 얘기가 들리고친구라는 아름다운 이름이너무도 소중한 인생그런 이름으로 나의 가슴에 살던 너오늘은 나의 생일노래 소리 가득한데조금씩 날 빗겨가는 음악이 슬퍼져나의 진짜 생일은아직 안왔는지도 몰라내가 진정 나로 태어나는 날내 나이 스무살쯤에 나이그때 우리 웃음소리가 바람에 전해져널 다시 만나고 가득 안는 날그때가 정말 나의 생일일꺼야우우우 우우우 우우우우우우우우 우우우 우우우우우언젠가 너의 생일 축하의 말도 못하고다신 못 볼 너를 멀리서 바라만 보다가진 것 없는 나를 잊어주기만을 바라던바보같은 내가 더는 아니길내 나이 널 보낸 슬픈 나이그때 우리 웃음소리가 바람에 전해져널 다시 만나고 가득 안는 날그때가 정말 나의 생일일꺼야우우우 우우우 우우우우우우우우 우우우 Happy birthday to you
