,year,rank,song_name,artist,likes,album_id,song_id
0,2022년,1,LOVE DIVE,IVE (아이브),"242,801",10909179,34847378
1,2022년,2,TOMBOY,(여자)아이들,"241,400",10890384,34754292
2,2022년,3,취중고백,김민석 (멜로망스),"173,287",10816959,34431086
3,2022년,4,사랑인가 봐,멜로망스,"194,126",10871162,34657844
4,2022년,5,사랑은 늘 도망가,임영웅,"202,918",10735654,34061322
5,2022년,6,ELEVEN,IVE (아이브),"188,924",10798794,34349913
6,2022년,7,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),"299,168",10908834,34845949
7,2022년,8,다정히 내 이름을 부르면,경서예지,"177,702",10610525,33496587
8,2022년,9,That That (prod. & feat. SUGA of BTS),싸이 (PSY),"136,126",10937474,34997078
9,2022년,10,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),"216,848",10925762,34927767
10,2022년,11,신호등,이무진,"298,959",10607796,33480898
11,2022년,12,INVU,태연 (TAEYEON),"144,789",10863559,34626109
12,2022년,13,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,"223,821",10775252,34256568
13,2022년,14,Feel My Rhythm,Red Velvet (레드벨벳),"152,543",10894554,34772475
14,2022년,15,Hype boy,NewJeans,"280,329",11011565,35454426
15,2022년,16,GANADARA (Feat. 아이유),박재범,"134,555",10889981,34752700
16,2022년,17,Attention,NewJeans,"234,837",11011565,35454425
17,2022년,18,After LIKE,IVE (아이브),"236,559",11034298,35546497
18,2022년,19,나의 X에게,경서,"147,836",10929486,34943312
19,2022년,20,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),"131,037",11000171,35383397
20,2022년,21,LOVE me,BE'O (비오),"147,080",10916904,34875621
21,2022년,22,Next Level,aespa,"261,165",10609232,33487342
22,2022년,23,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),"193,174",10784974,34298499
23,2022년,24,드라마,아이유,"183,479",10827816,34481680
24,2022년,25,strawberry moon,아이유,"225,714",10743453,34101563
25,2022년,26,너의 모든 순간,성시경,"275,921",2232505,4446485
26,2022년,27,내가 아니라도,주호,"105,279",10897407,34787226
27,2022년,28,듣고 싶을까,MSG워너비(M.O.M),"89,261",10880544,34701627
28,2022년,29,너를 생각해,주시크 (Joosiq),"151,753",10716399,33978183
29,2022년,30,Dynamite,방탄소년단,"458,459",10479150,32872978
30,2022년,31,보고싶었어,WSG워너비(4FIRE),"130,429",11000171,35383398
31,2022년,32,SMILEY (Feat. BIBI),YENA (최예나),"147,804",10842611,34538515
32,2022년,33,Weekend,태연 (TAEYEON),"196,126",10645654,33655994
33,2022년,34,FEARLESS,LE SSERAFIM (르세라핌),"115,282",10939458,35009233
34,2022년,35,Butter,방탄소년단,"292,760",10612483,33507137
35,2022년,36,Pink Venom,BLACKPINK,"158,905",11033394,35542908
36,2022년,37,언제나 사랑해,케이시 (Kassy),"73,115",10857681,34599917
37,2022년,38,밤하늘의 별을(2020),경서,"224,201",10518234,33061995
