Song_ID,Genre,Lyrics
5808131,"발라드, 인디음악",보내야 할 때 보낼 수 있을까쉽게 받아들일 수 있니나는 그게 잘 안돼이별이 그렇게 쉬울 수 있니어떻게 이럴 수 있어눈을 가리고하늘을 보는 기분이야나 정말 받아들일 수 없어아직도 넌 내 앞에다시 달려와 줄 것만 같은데떠나는 그 순간 나의 모든 걸잃어버린 것 같아제발 부탁이야 다시 내게 돌아와꽉 붙들고 있는 손 이제는점점 차가워져만 가는데가슴속의 조그만 빛줄기모두 사라져만 가는데햇살 속에 웃는 네 모습이지금도 난 아른거리는데아직도 난 못해준 말들이남아있는데어디서부터 잘못되었을까매일 밤 지우려다이내 따뜻한네 말이 귓가에 맴돌아나 아직도 너를 보낼 수 없어지금도 넌 내 곁에다시 돌아와 줄 것만 같은데아무 일 없는 듯다시 그 약속 지켜 가자고 말해제발 부탁이야 다시 내게 돌아와꽉 붙들고 있는 손 이제는점점 차가워져만 가는데가슴속의 조그만 빛줄기모두 사라져만 가는데햇살 속에 웃는 네 모습이지금도 난 아른거리는데아직도 난 못해준 말들이남아있는데널 위해 가장 예쁜 모습으로상처 없이 보낼 수 있을까꽉 붙들고 있는 손 이제는점점 차가워져만 가는데가슴속의 조그만 빛줄기모두 사라져만 가는데햇살 속에 웃는 네 모습이지금도 난 아른거리는데아직도 난 못해준 말들이남아있는데
81926,댄스,다시 널 사랑할 수 없다면내 모든 아픔까지 가져가네게 익숙해져 버린 나였기에너를 사랑 할 수가 없어나 아닌 다른 사람 만나서너에게 부담이 되었다면그만 잊어줄께떠날 건 어차피 나였을 테니까슬픈 음악이 흘러나올 때마다난 눈물이 나올것 같아나 이젠 널 잊은 줄 알았는데술에 취해 아무리 울어봐도더욱 더 생각이 나는 건이루지 못한나의 사랑 때문일거야다시 널 사랑할 수 없다면내 모든 아픔까지 가져가네게 익숙해져 버린 나였기에너를 사랑 할 수가 없어나 아닌 다른 사람 만나서너에게 부담이 되었다면그만 잊어줄께떠날 건 어차피 나였을 테니까슬픈 음악이 흘러나올 때마다난 눈물이 나올것 같아나 이젠 널 잊은 줄 알았는데술에 취해 아무리 울어봐도더욱 더 생각이 나는 건이루지 못한나의 사랑 때문일거야다시 널 사랑할 수 없다면내 모든 아픔까지 가져가네게 익숙해져 버린 나였기에너를 사랑 할 수가 없어나 아닌 다른 사람 만나서너에게 부담이 되었다면그만 잊어줄께떠날 건 어차피 나였을 테니까이제는 혼자 남겨진 내가낯설고 어색하긴 하지만모두 끝나버린 사랑이었기에너를 떠나 보낼수 있어또 다른 사람 만나도 괜찮아난 너의 사랑을 받았으니이젠 보내줄께떠날건 어차피 나였을테니까
73737,록/메탈,해질무렵 날 끌고간 발걸음눈떠보니 잊은줄 알았던 곳에아직도 너의 대한 미움이 남아 있는지이젠 자유롭고 싶어시간은 해결해 주리라난 믿었지 그것 조차 어리석었을까이젠 흘러가는대로 날 맡길래너완 상관 없잖니처음부터 너란 존재는 내겐 없었어네가 내게 했듯이 기억해 내가 아파했던만큼언젠간 너도 나 아닌 누구에게이런 아픔 겪을테니미안해 이렇게 밖에 할 수 없잖니정말 이럴 수 밖에너처럼 다시 시작 할 수 있는 그 날이 오길너를 사랑할 수 없고너를 미워해야 하는 날 위해처음부터 너란 존재는 내겐 없었어네가 내게 했듯이 기억해 내가 아파했던만큼언젠간 너도 나 아닌 누구에게이런 아픔 겪을테니미안해 이렇게 밖에 할 수 없잖니정말 이럴 수 밖에너처럼 다시 시작할 수 있는 그 날이 오길너를 사랑할 수 없고너를 미워해야 하는 날 위해
4800528,"발라드, R&B/Soul, 국내드라마",한참동안 그래 울기만 하잖아오늘도 그리워 하잖아그동안 힘들었지날보며 위로하는 그말 그말한참동안 너의 추억을 헤매다눈을 떠보면 뒷모습만 보여서혹시 꿈인건지 아직도 너와 마주보던 날에살고있는건 아닌지I just want you love me 사랑이 올까요Tell me that you love me 너도 나와 같다면또 바라고 바라고 바래도 널 가질수 없단 걸알면서도 너를 또 바보같이 찾는나모를거야 항상 웃고 있어도지친 가슴이 얼마나 울고있는지널 보고싶다고 수만번 불러보면 너도 나를한번쯤 생각하는지I just want you love me 사랑이 올까요Tell me that you love me 너도 나와 같다면또 바라고 바라고 바래도 널 가질수 없단 걸알면서도 너를 또 바보같이 찾는나애타게 네 이름 불러보면또 그때처럼 다시 만날수 있을까I can't live without you 그대가 올까요Tell me that you love me 너도 나와 같다면또 바라고 바라고 바래도 널 가질수 없단 걸알면서도 너를 또 바보같이 찾는나
4259861,발라드,늦은밤 들어와 힘에 겨워 지쳐도 보고싶다 달려와 안겨준 사람아파도 내가 걱정돼 한숨도 못자던 사람 그저 내곁에 있어준 사람가끔은 서러워 위로 받고 싶을때 아무말을 안해도 늘 안아준 사람 따뜻한 인살 못해도 꼭 웃어주던 그 사람 눈물이 날때마다 함께 울어준 사람그대여 내 사랑 그대여 그대여 참 고마운 내 사랑아매일 불안한 나의 삶에 한참 부족했었던 내게기대어 주는 사람그대여 하늘아래 말해요 그대여 평생을 지켜 줄게요오래 기다려주던 만큼 나만 간직한 만큼 그댈 위해 살게요가끔 술에 취해 그대 얼굴을 보며 혼자서 몰래 울기도 하는 나죠미안해요 미안해요 해준게 많지 않아서사랑하는 사람아그대여그대여 내 사랑 그대여 그대여 행복을 주는 이유여항상 받기만 했던 사랑 내겐 빛이였었던 사람소중한 내 사랑아그대여 하늘아래 말해요 그대여 죽을만큼 사랑해요많이 흘렸던 눈물만큼 서로 사랑한 만큼 그대에게 갈게요사랑하는 그대여
1654817,R&B/Soul,남들도 모르게서성이다 울었지지나 온 일들이가슴에 사무쳐텅 빈 가을 위불 빛들 켜져가면옛 사랑 그 이름아껴불러보네찬 바람 불어와옷 깃을 여미우다후회가 또 화가 난눈물이 흐르네누가 물어도아플 것 같지 않던지나 온 내 모습모두 거짓인가이제 그리운 것은 그리운대로내 맘에 둘거야그대 생각이 나면 생각난대로내버려두 듯이흰 눈 나리면들 판에 서성이다옛 사랑 생각에그 길 찾아 가지광화문 거리흰 눈에 덮혀가고하얀 눈 하늘 높이자꾸 올라가네이제 그리운것은 그리운대로내 맘에 둘거야그대 생각이 나면 생각난대로내버려두 듯이사랑이란게지겨울때가 있지내 맘에 고독이너무 흘러 넘쳐눈 녹은 봄 날푸르른 잎 새위에옛 사랑 그대 모습영원속에 있네옛 사랑 그대 모습영원속에 있네
1540132,록/메탈,길을 잃었죠 그대는 가네요서둘러 이별이 오네요많지 않은 바램과많지 않은 약속에우린 그렇게 지쳐갔죠잘 한 일이죠 적어도 그대는모자란 날 안 볼테니까마음 약한 그대가조금은 걱정이죠나 웃으며 보내 줄게요좋은 사람 만나서행복해야 해요죽어도 나하기 싫은 말나 억지로 내뱉고 나면모든 게 다 없던일이 될 거죠오늘 하루까지만그리워할게요마지막 나 하고 싶은 말바보처럼 보내고나면기억마저 나를 떠나갈그 날이 오겠죠아무래도 난 참 행복한 사람착한 그댈 사랑했으니까애써 잊어보려고노력하지 않아요잊혀짐도 사랑이니까요좋은 사람 만나서행복해야 해요죽어도 나 하기 싫은 말나 억지로 내뱉고 나면모든 게 다 없던일이 될 거죠오늘 하루까지만그리워할게요마지막 나 하고 싶은 말바보처럼 보내고나면기억마저 나를 떠나갈그 날이 오겠죠사랑해요 난 영원해요평생동안두 번 다시 못 할 그 말사랑해
2900010,"발라드, 국내드라마",내 심장에 살고 눈물에 살고또 기억에 사는 그리운 사람지우지 못하고 버리지 못할아름다운 사람아날 숨쉬게 하고 꿈꾸게 하고또 아프게 하는 오직 한 사람바라볼수록 더 다가설수록눈물겨운 사람아널 사랑한다그 사랑 때문에 가슴 시려도그 사랑 때문에또 다시 하루를 견뎌낸다널 사랑한다사랑한다는 그 말보다 더나조차도 겁이날만큼미치도록 내 가슴이 널 사랑한다닿을 수 없고 늘 머물 수 없고더 가질 수 없는 머나먼 사람그저 눈물로만 가슴으로만불러보는 사람아널 사랑한다그 사랑 때문에 가슴 시려도그 사랑 때문에또 다시 하루를 견뎌낸다널 사랑한다사랑한다는 그 말보다 더나조차도 겁이날만큼미치도록 내 가슴이 널 사랑한다단 한번도 전하지 못했던바보 같은 나이지만사랑한다 널 사랑한다널 기다린다그 사랑 때문에 눈물 고여도그 사랑 때문에메마른 내삶이 빛나니까널 기다린다영원이라는 시간보다 더곁에서도 그리워질만큼아프도록 내 가슴이 널 사랑한다
2334774,댄스,그래 그랬지 넌 솔깃솔깃  할 만했었지 부드럽게 나를 Holic Holic  하게 했었지 너무 뻔했었던 거짓말을 들어도 믿고만 싶게한 그런 목소리였어 흔들리잖아 너의 전화 한 콜에 나 믿고 싶잖아 변한 너일지도 몰라 바보같잖아 왜 이렇게  쉬워 내가 다짐이나 말지 너를 잊겠다고 귀를 감아 넘어오는  그 놈 목소리 지겨워도 듣게 되는  그런 멜로디 다시 나를 조여오는  너의 메모리 어떡해야 너를 벗어나니 난 제발 그만 제발 그만 이제 그만 날 놓아줘 어쩜 이리 쉽게 철렁철렁  내려 앉는지 왜 넌 아직도 날 들고 놓고 할 수 있는지 Turn it left Turn it right 나를 이리 저리로  가지고 놀다가 내려놓을 너인데 알고 있잖아 모르는게 아닌데도 가고 있잖아 니가 있단  그 곳으로 바보같잖아 왜 이렇게 쉬워 내가 말하지나 말지 마지막이라고 귀를 감아 넘어오는 그 놈 목소리 지겨워도 듣게 되는 그런 멜로디 다시 나를 조여오는 너의 메모리 어떡해야 너를 벗어나니 난 지금 어딘데요 집으로 갈게요 이렇게라도 잠시라해도 이렇게라도 거짓이래도 너에게 또 무너지는  나의 목소리 너에게 난 편하기만한  Accessory 알면서 또 보게 되는 뻔한 스토리 어떡해야 너를 이제 그만 너를 귀를 감아 넘어오는 그 놈 목소리 지겨워도 듣게 되는 그런 멜로디 다시 나를 조여 오는 너의 메모리 어떡해야 너를 벗어나니 난 제발 그만 제발 그만 이제 그만 날 놓아줘
32823,"인디음악, 록/메탈",너의 목소리가 들려 너의 목소리가 들려 너의 목소리가 들려 너의 목소리가 들려 아무리 애를 쓰고막아 보려 하는데도 아무리 애를 쓰고막아 보려 하는데도 너의 목소리가 들려 너의 목소리가 들려 아무리 애를 쓰고막아 보려 하는데도 아무리 애를 쓰고막아 보려 해도 너의 목소리가 들려 너의 목소리가 들려 아무리 애를 쓰고막아 보려 하는데도 아무리 애를 쓰고막아 보려 해도 너의 목소리가 들려 너의 목소리가 들려 너의 목소리 너의 목소리 너의 목소리가 들려 너의 목소리 너의 목소리 너의 목소리가 들려
